"","Escolaridade_pai","Escolaridade_mãe","Renda","Auxílio","Escola","Dificuldade"
"3030","1","1","1","2","2","1"
"2905","3","3","1","2","2","1"
"636","2","3","1","2","2","0"
"51","3","3","3","2","2","1"
"1972","2","2","1","2","2","1"
"5018","1","1","3","2","1","1"
"1702","1","2","1","2","1","1"
"530","1","2","2","2","2","1"
"5319","3","3","3","2","2","1"
"4351","2","3","3","2","2","0"
"4192","1","1","2","2","1","1"
"5465","1","2","2","2","1","0"
"3345","1","2","1","2","1","1"
"4195","2","2","2","2","1","1"
"1157","1","3","1","2","1","1"
"440","3","1","3","2","2","0"
"1617","3","2","3","2","1","1"
"3661","3","3","2","2","1","1"
"4951","3","1","1","1","1","0"
"299","3","2","3","2","2","0"
"4430","1","1","3","2","1","0"
"903","1","1","2","2","1","1"
"1284","2","2","1","2","1","0"
"1428","1","3","3","2","1","1"
"3333","1","1","2","2","1","0"
"3034","2","2","2","2","1","1"
"4991","1","2","1","2","1","1"
"788","2","2","2","2","1","1"
"586","3","3","3","2","2","1"
"2450","2","1","3","1","1","1"
"364","3","3","3","2","1","0"
"175","3","2","2","2","2","1"
"1624","1","3","2","2","2","0"
"28","3","3","3","2","2","0"
"5301","2","2","2","2","2","1"
"5007","2","3","2","2","1","0"
"2143","1","1","1","2","1","1"
"1370","2","3","3","2","1","0"
"1874","3","3","3","2","2","1"
"5197","3","3","2","2","1","1"
"5236","3","3","2","2","1","1"
"4713","1","1","1","2","1","1"
"1162","2","3","1","2","1","1"
"5080","3","2","2","2","1","0"
"1752","1","1","3","2","1","1"
"4","2","3","2","2","2","1"
"2520","1","2","3","2","2","0"
"1371","3","2","2","2","1","0"
"4377","3","3","3","2","2","1"
"3832","3","3","3","2","2","0"
"5054","2","2","2","2","1","1"
"5060","2","3","2","2","1","1"
"57","1","1","1","2","1","1"
"1146","1","1","2","2","1","1"
"3983","2","3","3","2","1","1"
"3810","3","3","3","2","2","1"
"4373","2","1","1","1","1","0"
"4530","3","2","2","2","1","1"
"5464","3","3","3","2","2","0"
"2744","3","3","1","2","2","0"
"1158","2","3","2","2","1","0"
"237","2","3","3","2","1","0"
"4244","1","2","2","2","1","1"
"1403","2","1","1","2","1","1"
"477","2","2","3","2","1","1"
"1570","3","3","3","2","2","0"
"557","2","3","3","2","2","0"
"1565","2","2","1","2","1","1"
"3310","1","1","1","2","1","1"
"1291","2","2","3","2","2","1"
"3576","3","1","3","1","1","1"
"4274","2","2","3","2","1","1"
"316","3","3","3","2","2","0"
"3930","1","2","1","2","1","0"
"2379","2","2","1","1","2","1"
"987","1","1","2","2","1","1"
"2775","2","2","3","2","1","1"
"2378","3","2","2","2","1","1"
"275","3","3","3","2","2","1"
"1776","2","2","1","2","1","1"
"2576","1","1","3","2","1","1"
"1432","1","2","2","2","1","1"
"261","3","3","2","2","2","1"
"3364","3","3","3","2","2","1"
"4504","2","2","2","2","1","0"
"4564","2","2","2","2","1","1"
"3261","3","2","1","2","1","1"
"4508","3","3","2","1","1","0"
"1515","3","3","3","2","2","1"
"3398","2","2","2","2","1","1"
"4961","3","2","3","2","2","1"
"826","3","3","3","2","2","1"
"866","2","1","3","2","1","1"
"2236","2","2","1","2","1","0"
"201","2","2","2","2","1","1"
"2348","1","2","1","1","1","0"
"3264","2","1","1","2","1","1"
"4303","2","1","2","2","1","1"
"1983","3","2","3","2","2","1"
"5234","3","3","1","2","2","0"
"3761","3","3","2","2","2","1"
"664","2","1","2","2","1","1"
"3938","2","1","3","2","2","1"
"4026","2","2","2","2","1","1"
"968","1","3","3","2","2","1"
"4929","3","3","1","1","1","0"
"468","3","3","3","2","2","0"
"1005","1","2","1","2","1","1"
"1677","1","2","2","2","1","1"
"5393","1","2","2","2","1","1"
"2459","1","1","2","2","1","0"
"2723","2","3","1","2","1","1"
"3637","3","2","3","2","1","0"
"1271","1","2","1","2","1","1"
"4848","3","3","3","2","2","0"
"4585","2","2","1","2","1","1"
"1600","3","3","3","2","2","0"
"2294","1","1","3","2","2","1"
"1201","2","2","1","2","2","0"
"510","2","2","2","2","1","1"
"3606","2","2","2","2","2","1"
"5039","1","1","1","2","1","1"
"2854","3","1","2","2","1","1"
"995","3","3","2","2","1","1"
"5042","2","2","2","2","2","1"
"1096","1","1","3","1","1","1"
"2329","1","1","1","2","1","0"
"4824","3","2","3","2","2","1"
"2073","3","3","1","2","1","1"
"1126","1","2","1","2","1","0"
"4035","1","2","2","2","1","1"
"875","1","3","2","2","2","1"
"156","3","3","3","2","2","1"
"2425","2","2","2","2","2","1"
"545","3","2","3","2","2","1"
"1923","1","3","2","2","1","0"
"917","2","2","3","2","1","0"
"4734","1","1","1","2","1","1"
"4002","2","2","1","2","2","0"
"461","2","3","2","2","1","1"
"5272","3","3","3","2","2","1"
"1615","1","1","1","1","1","0"
"4679","3","2","3","2","2","1"
"746","1","1","1","2","1","1"
"3861","1","2","1","1","1","0"
"5380","3","3","3","2","1","1"
"2369","3","3","2","2","2","0"
"5128","3","2","3","2","2","0"
"5348","3","3","2","2","1","1"
"1504","1","2","3","2","2","0"
"3468","1","3","2","2","2","1"
"3929","2","2","2","2","2","1"
"564","3","2","3","2","2","0"
"957","2","1","3","2","2","1"
"3815","3","3","2","2","2","1"
"2038","1","2","1","2","1","0"
"4993","3","2","2","2","2","1"
"4635","3","3","3","2","2","1"
"3260","2","1","1","2","2","1"
"4603","1","2","2","2","1","1"
"5227","1","1","1","2","1","1"
"1657","2","1","2","1","1","1"
"3325","1","2","1","2","1","1"
"2709","2","1","2","2","1","1"
"3577","2","3","2","1","2","1"
"629","3","3","3","2","2","0"
"2135","3","1","3","2","2","1"
"1270","3","3","3","2","2","0"
"422","1","2","1","1","2","1"
"4437","3","3","1","2","2","1"
"512","1","1","2","2","1","0"
"4886","2","2","2","2","2","1"
"5473","2","2","1","2","1","1"
"1190","1","2","2","2","1","1"
"3206","2","3","3","2","1","1"
"3277","1","1","1","2","1","1"
"1134","2","2","1","2","1","1"
"4089","3","3","3","2","2","0"
"2616","2","2","2","2","1","1"
"2681","2","2","3","2","2","1"
"4473","2","2","2","2","1","1"
"3427","1","1","2","2","1","0"
"5289","1","1","1","1","1","1"
"1762","2","1","1","2","1","1"
"637","2","3","1","2","2","0"
"271","3","3","1","2","2","0"
"5072","3","3","3","2","2","1"
"1854","2","3","2","2","1","1"
"3871","3","3","3","2","2","1"
"824","1","2","2","2","1","1"
"4578","2","3","3","2","1","0"
"753","3","3","3","2","2","1"
"1758","1","1","1","2","1","1"
"3734","2","2","2","2","2","1"
"4330","1","2","3","2","2","1"
"3475","3","3","2","2","2","0"
"2740","3","3","2","1","2","1"
